price,rooms,area,market,building_type,building_material,year_built,heating,kitchen_type,property_condition,form_of_ownership,district_result,distance_from_center,floor_of_flat,balconies,parking,basement_storage_unit,lift,smart home,air conditioning,rooms_to_area_ratio
847000,3,52.96,Primary,Apartment building,Brick,2025.0,Central city heating,Kitchenette,5.859567901234568,3.7804203539823007,Podgórze,3.6,0,Yes,Yes,No_data,Yes,No_data,No_data,0.05664652567975831
849000,3,62.0,Secondary,Apartment building,Brick,2000.0,Other/ no data,Separate kitchen,3.0,4.0,Prądnik Biały,3.6,5,Yes,Yes,No_data,No_data,No_data,No_data,0.04838709677419355
1400000,3,54.54,Secondary,Tenement,No data,2024.0,Central heating,Kitchenette,7.0,4.0,Prądnik Czerwony,2.7,2,Yes,Yes,Yes,Yes,No_data,No_data,0.05500550055005501
1012000,3,56.94,Primary,Apartment building,"Concrete, reinforced concrete",2024.0,Central city heating,Kitchenette,5.0,3.7804203539823007,Krowodrza,1.6,7,Yes,Yes,Yes,Yes,No_data,Yes,0.05268703898840885
599000,2,32.0,Secondary,Apartment building,No data,2018.0,Central city heating,Kitchenette,8.0,3.7804203539823007,Czyżyny,5.2,4,Yes,No_data,No_data,Yes,No_data,No_data,0.0625
992000,4,73.0,Primary,Apartment building,No data,2025.0,Central city heating,Other/ no data,5.859567901234568,3.7804203539823007,Podgórze,3.6,1,Yes,No_data,No_data,No_data,No_data,No_data,0.0547945205479452
858389,3,57.61,Primary,Apartment building,"Mixed construction, other",2024.0,Central city heating,Kitchenette,5.0,4.0,Dębniki,4.5,1,Yes,Yes,Yes,No_data,No_data,No_data,0.05207429265752474
595000,1,34.0,Secondary,Apartment building,Brick,2008.0,Central city heating,Kitchenette,9.0,4.0,Dębniki,4.5,3,Yes,No_data,No_data,Yes,No_data,Yes,0.029411764705882353
700000,2,43.42,Secondary,Apartment building,Brick,2017.0,Central city heating,Kitchenette,8.0,4.0,Czyżyny,5.2,3,Yes,Yes,No_data,Yes,No_data,Yes,0.046061722708429294
435000,1,28.82,Secondary,Apartment building,"Mixed construction, other",2004.0,Central city heating,Kitchenette,5.859567901234568,3.7804203539823007,Nowa Huta,12.9,1,Yes,No_data,Yes,No_data,No_data,No_data,0.03469812630117974
1269000,4,70.0,Primary,Multi-family building,Brick,2024.0,Central city heating,Other/ no data,5.859567901234568,3.7804203539823007,Bronowice,5.5,0,Yes,No_data,No_data,No_data,No_data,No_data,0.05714285714285714
355000,1,22.66,Secondary,Apartment building,Large slab,1970.0,Central city heating,Kitchenette,3.0,4.0,Nowa Huta,12.9,4,Yes,No_data,No_data,No_data,No_data,No_data,0.0441306266548985
1760000,4,108.2,Secondary,Tenement,Brick,1914.0,Gas heating,Separate kitchen,1.0,4.0,Stare Miasto,0.4,1,No_data,No_data,No_data,No_data,No_data,No_data,0.03696857670979667
1120000,3,70.85,Primary,Apartment building,Brick,2024.0,Heat pump,Kitchenette,5.0,4.0,Zwierzyniec,5.4,0,Yes,Yes,No_data,No_data,No_data,No_data,0.04234297812279464
510000,2,34.0,Secondary,Other/ No data,No data,2002.136017628205,Other/ no data,Separate kitchen,5.859567901234568,3.7804203539823007,Podgórze Duchackie,4.0,1,Yes,No_data,Yes,No_data,No_data,No_data,0.058823529411764705
680450,3,50.83,Primary,Apartment building,No data,2024.0,Central city heating,Kitchenette,5.859567901234568,3.7804203539823007,Nowa Huta,12.9,0,Yes,Yes,Yes,Yes,No_data,No_data,0.05902026362384419
739000,3,43.56,Secondary,Other/ No data,No data,1975.0,Other/ no data,Kitchenette,5.859567901234568,3.7804203539823007,Nowa Huta,12.9,2,No_data,No_data,No_data,No_data,No_data,No_data,0.06887052341597796
530000,2,40.0,Secondary,Other/ No data,No data,1961.0,Central city heating,Separate kitchen,2.0,3.7804203539823007,Nowa Huta,12.9,0,Yes,No_data,No_data,No_data,No_data,No_data,0.05
593028,2,38.76,Primary,Apartment building,No data,2026.0,Central city heating,Kitchenette,5.0,3.7804203539823007,Prądnik Czerwony,2.7,1,Yes,Yes,No_data,No_data,No_data,No_data,0.05159958720330238
750000,3,45.5,Secondary,Apartment building,"Mixed construction, other",1974.0,Central city heating,Separate kitchen,8.0,2.0,Bronowice,5.5,4,Yes,No_data,Yes,Yes,No_data,No_data,0.06593406593406594
1137500,3,60.0,Secondary,Apartment building,No data,2021.0,Central city heating,Kitchenette,7.0,3.7804203539823007,Bronowice,5.5,1,Yes,Yes,Yes,Yes,No_data,No_data,0.05
1897000,5,115.0,Primary,Apartment building,Brick,2024.0,Central city heating,Kitchenette,5.859567901234568,3.7804203539823007,Podgórze,3.6,4,Yes,Yes,Yes,No_data,No_data,No_data,0.043478260869565216
995000,2,45.15,Secondary,Apartment building,Brick,2016.0,Central city heating,Kitchenette,10.0,4.0,Stare Miasto,0.4,0,Yes,Yes,No_data,Yes,No_data,No_data,0.044296788482835
934992,3,54.36,Primary,Apartment building,No data,2026.0,Central city heating,Other/ no data,5.859567901234568,3.7804203539823007,Podgórze,3.6,2,Yes,No_data,No_data,No_data,No_data,No_data,0.05518763796909492
825000,3,58.5,Secondary,Apartment building,No data,2000.0,Central city heating,Kitchenette,8.0,2.0,Mistrzejowice,5.6,2,Yes,No_data,Yes,No_data,No_data,No_data,0.05128205128205128
699000,3,61.5,Secondary,Apartment building,No data,2002.136017628205,Other/ no data,Separate kitchen,1.0,3.7804203539823007,Bieżanów-Prokocim,7.5,2,Yes,No_data,Yes,No_data,No_data,No_data,0.04878048780487805
949000,3,65.0,Primary,Apartment building,Brick,2024.0,Central city heating,Other/ no data,5.859567901234568,3.7804203539823007,Bronowice,5.5,0,Yes,No_data,Yes,No_data,No_data,No_data,0.046153846153846156
569000,2,41.56,Secondary,Apartment building,Brick,1965.0,Central city heating,Bright kitchen,5.0,2.0,Nowa Huta,12.9,3,Yes,No_data,Yes,No_data,No_data,No_data,0.04812319538017324
814500,4,65.16,Primary,Apartment building,"Mixed construction, other",2025.0,Central city heating,Kitchenette,5.0,4.0,Wzgórza Krzesławickie,10.8,1,Yes,Yes,No_data,No_data,No_data,No_data,0.061387354205033766
739000,2,53.0,Secondary,Apartment building,Brick,1991.0,Central city heating,Separate kitchen,5.0,4.0,Krowodrza,1.6,1,Yes,Yes,Yes,No_data,No_data,No_data,0.03773584905660377
1180189,4,70.67,Primary,Apartment building,"Mixed construction, other",2026.0,Central city heating,Kitchenette,8.0,3.0,Łagiewniki-Borek Fałęcki,3.5,6,Yes,Yes,Yes,Yes,No_data,No_data,0.05660110372152257
1530000,3,72.48,Secondary,Other/ No data,No data,2002.136017628205,Other/ no data,Kitchenette,5.859567901234568,3.7804203539823007,Podgórze,3.6,3,Yes,Yes,Yes,Yes,No_data,No_data,0.04139072847682119
762609,2,40.56,Primary,Apartment building,H-frame,2026.0,Central city heating,Kitchenette,5.0,4.0,Bronowice,5.5,1,Yes,Yes,Yes,Yes,No_data,No_data,0.049309664694280074
754730,2,37.45,Primary,Apartment building,H-frame,2026.0,Central city heating,Kitchenette,5.0,4.0,Bronowice,5.5,1,No_data,No_data,Yes,Yes,No_data,No_data,0.05340453938584779
750000,3,62.4,Secondary,Apartment building,Large slab,1981.0,Central city heating,Separate kitchen,1.0,4.0,Podgórze Duchackie,4.0,4,Yes,No_data,Yes,No_data,No_data,No_data,0.04807692307692308
1100550,4,79.75,Primary,Other/ No data,No data,2026.0,Other/ no data,Other/ no data,5.859567901234568,3.7804203539823007,Prądnik Biały,3.6,4,Yes,Yes,Yes,Yes,No_data,No_data,0.050156739811912224
1560000,3,73.99,Secondary,Tenement,Brick,1934.0,Central city heating,Kitchenette,8.0,4.0,Stare Miasto,0.4,4,Yes,No_data,No_data,Yes,No_data,Yes,0.04054601973239627
827200,2,47.0,Primary,Other/ No data,No data,2026.0,Other/ no data,Separate kitchen,5.859567901234568,3.7804203539823007,Prądnik Biały,3.6,7,Yes,Yes,No_data,Yes,No_data,No_data,0.0425531914893617
630000,1,33.91,Secondary,Tenement,Brick,1950.0,Other/ no data,Bright kitchen,1.0,4.0,Stare Miasto,0.4,1,No_data,No_data,No_data,Yes,No_data,No_data,0.029489826010026542
718000,2,41.0,Primary,Apartment building,Brick,2024.0,Central city heating,Kitchenette,5.859567901234568,3.7804203539823007,Krowodrza,1.6,2,Yes,No_data,No_data,No_data,No_data,No_data,0.04878048780487805
888000,3,66.7,Secondary,Apartment building,Brick,2009.0,Central city heating,Kitchenette,1.0,4.0,Dębniki,4.5,1,Yes,Yes,No_data,No_data,No_data,No_data,0.04497751124437781
259000,2,51.36,Secondary,Apartment building,No data,2001.0,Central city heating,Bright kitchen,1.0,3.7804203539823007,Nowa Huta,12.9,5,Yes,No_data,Yes,No_data,No_data,No_data,0.03894080996884735
635000,2,38.13,Secondary,Apartment building,Brick,2015.0,Other/ no data,Kitchenette,5.859567901234568,3.7804203539823007,Dębniki,4.5,0,Yes,No_data,No_data,Yes,No_data,No_data,0.052452137424600045
569000,1,38.0,Secondary,Other/ No data,No data,2002.136017628205,Other/ no data,Other/ no data,5.859567901234568,4.0,Podgórze,3.6,9,No_data,No_data,Yes,Yes,No_data,Yes,0.02631578947368421
1090000,3,68.0,Secondary,Apartment building,"Concrete, reinforced concrete",2005.0,Central city heating,Kitchenette,8.0,3.7804203539823007,Dębniki,4.5,7,Yes,Yes,No_data,Yes,No_data,No_data,0.04411764705882353
1399000,5,125.78,Secondary,Multi-family building,No data,2021.0,Gas heating,Other/ no data,5.859567901234568,3.7804203539823007,Krowodrza,1.6,0,Yes,Yes,No_data,No_data,No_data,No_data,0.039751947845444426
955144,4,82.34,Primary,Other/ No data,No data,2027.0,Other/ no data,Other/ no data,5.859567901234568,3.7804203539823007,Podgórze,3.6,5,Yes,Yes,Yes,No_data,No_data,No_data,0.04857906242409521
1739745,3,71.01,Primary,Apartment building,No data,2026.0,Central city heating,Kitchenette,5.0,4.0,Dębniki,4.5,1,Yes,Yes,Yes,No_data,No_data,Yes,0.042247570764681025
582180,2,46.95,Primary,Other/ No data,No data,2027.0,Other/ no data,Other/ no data,5.859567901234568,3.7804203539823007,Podgórze,3.6,0,Yes,Yes,Yes,No_data,No_data,No_data,0.042598509052183174
1095000,3,62.0,Secondary,Apartment building,No data,2022.0,Central city heating,Kitchenette,8.0,4.0,Nowa Huta,12.9,0,Yes,Yes,Yes,Yes,No_data,No_data,0.04838709677419355
979000,3,74.0,Secondary,Apartment building,Brick,1952.0,Central city heating,Separate kitchen,3.0,4.0,Nowa Huta,12.9,2,No_data,No_data,Yes,Yes,No_data,No_data,0.04054054054054054
1100000,3,76.2,Secondary,Apartment building,"Mixed construction, other",2014.0,Central city heating,Separate kitchen,1.0,4.0,Podgórze,3.6,0,Yes,No_data,No_data,No_data,No_data,No_data,0.03937007874015748
829000,3,52.1,Secondary,Apartment building,Large slab,1980.0,Central city heating,Separate kitchen,10.0,2.0,Prądnik Biały,3.6,7,Yes,No_data,Yes,Yes,No_data,No_data,0.05758157389635316
754000,2,44.0,Primary,Multi-family building,Brick,2025.0,Central city heating,Kitchenette,5.0,4.0,Krowodrza,1.6,2,Yes,Yes,No_data,No_data,No_data,Yes,0.045454545454545456
649950,2,39.41,Secondary,Apartment building,No data,2024.0,Central city heating,Kitchenette,5.0,3.7804203539823007,Prądnik Biały,3.6,1,Yes,Yes,No_data,Yes,No_data,No_data,0.050748540979446845
799000,2,50.14,Secondary,Other/ No data,No data,1937.0,Gas heating,Kitchenette,9.0,4.0,Stare Miasto,0.4,2,No_data,No_data,No_data,Yes,No_data,No_data,0.03988831272437176
859995,4,59.31,Primary,Apartment building,"Mixed construction, other",2025.0,Central city heating,Kitchenette,5.0,4.0,Wzgórza Krzesławickie,10.8,3,Yes,No_data,No_data,No_data,No_data,No_data,0.06744225257123587
2029000,5,162.4,Primary,Multi-family building,Brick,2025.0,Heat pump,Separate kitchen,5.859567901234568,3.7804203539823007,Podgórze,3.6,1,Yes,Yes,No_data,No_data,No_data,Yes,0.03078817733990148
765000,2,43.0,Secondary,Apartment building,"Mixed construction, other",2022.0,Central city heating,Kitchenette,9.0,3.7804203539823007,Dębniki,4.5,3,Yes,Yes,Yes,Yes,No_data,No_data,0.046511627906976744
1000000,3,69.0,Secondary,Multi-family building,Brick,2004.0,Gas heating,Kitchenette,2.0,3.7804203539823007,Łagiewniki-Borek Fałęcki,3.5,1,Yes,Yes,No_data,No_data,No_data,No_data,0.043478260869565216
715000,3,51.18,Secondary,Apartment building,Large slab,1972.0,Central city heating,Separate kitchen,8.0,4.0,Krowodrza,1.6,4,Yes,No_data,Yes,No_data,No_data,No_data,0.05861664712778429
504455,2,34.79,Primary,Apartment building,"Mixed construction, other",2025.0,Central city heating,Kitchenette,5.0,4.0,Wzgórza Krzesławickie,10.8,2,Yes,Yes,No_data,No_data,No_data,No_data,0.05748778384593274
1320000,3,70.19,Secondary,Apartment building,No data,2009.0,Central city heating,Separate kitchen,9.0,4.0,Krowodrza,1.6,7,Yes,Yes,Yes,Yes,No_data,Yes,0.04274113121527283
879000,3,52.88,Secondary,Apartment building,Brick,1974.0,Central city heating,Separate kitchen,8.0,4.0,Prądnik Biały,3.6,0,Yes,No_data,No_data,No_data,No_data,No_data,0.056732223903177004
1534080,3,54.5,Secondary,Tenement,Brick,2002.136017628205,Central city heating,Separate kitchen,9.0,4.0,Stare Miasto,0.4,3,No_data,No_data,No_data,No_data,No_data,Yes,0.05504587155963303
788810,2,55.55,Primary,Other/ No data,No data,2026.0,Other/ no data,Other/ no data,5.859567901234568,3.7804203539823007,Prądnik Biały,3.6,4,Yes,Yes,Yes,Yes,No_data,No_data,0.036003600360036005
789214,2,41.06,Primary,Apartment building,H-frame,2026.0,Central city heating,Kitchenette,5.0,4.0,Bronowice,5.5,0,Yes,Yes,Yes,Yes,No_data,No_data,0.04870920603994155
499680,1,31.23,Secondary,Other/ No data,No data,2002.136017628205,Other/ no data,Other/ no data,5.859567901234568,3.7804203539823007,Nowa Huta,12.9,5,No_data,No_data,No_data,No_data,No_data,No_data,0.03202049311559398
870000,4,74.37,Primary,Multi-family building,"Concrete, reinforced concrete",2025.0,Gas heating,Kitchenette,5.0,4.0,Podgórze,3.6,0,Yes,Yes,No_data,No_data,No_data,No_data,0.05378512841199408
811125,4,64.89,Primary,Apartment building,"Mixed construction, other",2025.0,Central city heating,Kitchenette,5.0,4.0,Wzgórza Krzesławickie,10.8,0,Yes,No_data,No_data,No_data,No_data,No_data,0.06164278008938203
1232800,2,37.0,Secondary,Apartment building,No data,1840.0,Central heating,Kitchenette,5.0,4.0,Stare Miasto,0.4,4,No_data,No_data,No_data,No_data,No_data,No_data,0.05405405405405406
1290000,2,59.16,Secondary,Apartment building,Brick,2016.0,Own/ local central heating,Bright kitchen,10.0,4.0,Zwierzyniec,5.4,0,Yes,Yes,Yes,No_data,No_data,Yes,0.03380662609871535
487060,2,34.79,Primary,Apartment building,"Mixed construction, other",2025.0,Central city heating,Kitchenette,5.0,4.0,Wzgórza Krzesławickie,10.8,0,Yes,Yes,No_data,No_data,No_data,No_data,0.05748778384593274
965385,3,71.51,Primary,Other/ No data,No data,2026.0,Other/ no data,Other/ no data,5.859567901234568,3.7804203539823007,Podgórze,3.6,3,Yes,Yes,No_data,No_data,No_data,No_data,0.04195217452104601
1245000,3,52.5,Secondary,Apartment building,No data,2014.0,Central heating,Kitchenette,7.0,4.0,Grzegórzki,1.15,3,Yes,Yes,No_data,Yes,No_data,Yes,0.05714285714285714
820000,2,52.42,Secondary,Apartment building,Brick,2015.0,Central city heating,Separate kitchen,9.0,4.0,Podgórze Duchackie,4.0,1,Yes,No_data,Yes,No_data,No_data,No_data,0.03815337657382678
999000,4,64.0,Secondary,Apartment building,"Mixed construction, other",2025.0,Gas heating,Kitchenette,5.859567901234568,3.7804203539823007,Krowodrza,1.6,1,Yes,Yes,No_data,No_data,No_data,No_data,0.0625
874603,2,41.3,Primary,Apartment building,Brick,2025.0,Central city heating,Kitchenette,5.0,4.0,Podgórze,3.6,0,Yes,Yes,Yes,Yes,Yes,No_data,0.04842615012106538
1200000,3,80.0,Secondary,Apartment building,Brick,2009.0,Central city heating,Kitchenette,7.0,4.0,Podgórze,3.6,5,Yes,No_data,No_data,No_data,No_data,No_data,0.0375
858614,3,51.88,Primary,Apartment building,Brick,2024.0,Central city heating,Kitchenette,5.0,4.0,Prądnik Biały,3.6,4,Yes,No_data,No_data,Yes,Yes,No_data,0.05782575173477255
771258,2,40.38,Primary,Apartment building,"Mixed construction, other",2026.0,Central city heating,Kitchenette,8.0,3.0,Łagiewniki-Borek Fałęcki,3.5,5,Yes,No_data,No_data,No_data,No_data,No_data,0.04952947003467063
1112820,3,65.46,Primary,Apartment building,"Mixed construction, other",2026.0,Central city heating,Kitchenette,8.0,3.0,Łagiewniki-Borek Fałęcki,3.5,3,Yes,No_data,No_data,No_data,No_data,No_data,0.04582951420714941
1017000,2,44.3,Secondary,Tenement,No data,1912.0,Other/ no data,Kitchenette,5.859567901234568,3.7804203539823007,Stare Miasto,0.4,1,No,No_data,No_data,Yes,No_data,No_data,0.045146726862302484
639900,2,35.26,Primary,Other/ No data,No data,2027.0,Other/ no data,Kitchenette,5.859567901234568,3.7804203539823007,Krowodrza,1.6,0,Yes,No_data,No_data,No_data,No_data,No_data,0.05672149744753262
1099000,3,58.12,Secondary,Apartment building,"Mixed construction, other",2017.0,Central city heating,Kitchenette,8.0,4.0,Prądnik Czerwony,2.7,4,Yes,Yes,Yes,Yes,No_data,No_data,0.051617343427391604
639000,2,41.56,Secondary,Apartment building,"Mixed construction, other",2010.0,Central city heating,Kitchenette,9.0,4.0,Podgórze Duchackie,4.0,0,Yes,Yes,Yes,No_data,No_data,No_data,0.04812319538017324
938000,2,51.19,Secondary,Other/ No data,No data,2002.136017628205,Other/ no data,Other/ no data,5.859567901234568,3.7804203539823007,Podgórze,3.6,4,No_data,No_data,No_data,No_data,No_data,No_data,0.039070130884938464
2200000,3,94.0,Secondary,Other/ No data,No data,2002.136017628205,Other/ no data,Kitchenette,3.0,4.0,Grzegórzki,1.15,1,Yes,Yes,Yes,Yes,No_data,Yes,0.031914893617021274
389000,2,28.9,Secondary,Apartment building,Brick,1880.0,Central city heating,Separate kitchen,1.0,4.0,Bieżanów-Prokocim,7.5,1,Yes,No_data,Yes,No_data,No_data,No_data,0.06920415224913495
799000,3,58.0,Secondary,Apartment building,Large slab,1980.0,Central city heating,Separate kitchen,3.0,4.0,Nowa Huta,12.9,1,Yes,No_data,No_data,No_data,No_data,No_data,0.05172413793103448
521850,2,34.79,Primary,Apartment building,"Mixed construction, other",2025.0,Central city heating,Kitchenette,5.0,4.0,Wzgórza Krzesławickie,10.8,3,Yes,No_data,No_data,No_data,No_data,No_data,0.05748778384593274
925000,3,56.0,Secondary,Apartment building,Brick,2002.136017628205,Central city heating,Kitchenette,5.859567901234568,3.7804203539823007,Krowodrza,1.6,1,Yes,Yes,No_data,No_data,No_data,No_data,0.05357142857142857
624000,3,48.0,Secondary,Apartment building,"Mixed construction, other",1979.0,Central city heating,Bright kitchen,8.0,3.7804203539823007,Mistrzejowice,5.6,3,Yes,No_data,Yes,No_data,No_data,No_data,0.0625
690000,3,59.0,Secondary,Apartment building,Large slab,1975.0,Central city heating,Bright kitchen,2.0,4.0,Podgórze,3.6,1,Yes,No_data,Yes,No_data,No_data,No_data,0.05084745762711865
849235,3,92.95,Secondary,Apartment building,No data,2024.0,Gas heating,Kitchenette,5.859567901234568,3.7804203539823007,Podgórze,3.6,3,Yes,Yes,No_data,No_data,No_data,No_data,0.0322754168908015
694035,3,51.41,Primary,Apartment building,"Mixed construction, other",2025.0,Central city heating,Kitchenette,5.0,4.0,Wzgórza Krzesławickie,10.8,2,Yes,No_data,No_data,No_data,No_data,No_data,0.0583544057576347
730000,2,49.3,Secondary,Other/ No data,No data,1956.0,Other/ no data,Kitchenette,5.859567901234568,3.7804203539823007,Nowa Huta,12.9,0,No_data,No_data,Yes,No_data,No_data,No_data,0.04056795131845842
521850,2,34.79,Primary,Apartment building,"Mixed construction, other",2025.0,Central city heating,Kitchenette,5.0,4.0,Wzgórza Krzesławickie,10.8,3,Yes,Yes,No_data,No_data,No_data,No_data,0.05748778384593274
1089292,3,65.62,Primary,Other/ No data,No data,2026.0,Other/ no data,Separate kitchen,5.859567901234568,3.7804203539823007,Prądnik Biały,3.6,7,Yes,Yes,No_data,Yes,No_data,No_data,0.04571776897287412
599000,1,33.0,Secondary,Tenement,Brick,1950.0,Central city heating,Bright kitchen,1.0,4.0,Stare Miasto,0.4,3,No_data,No_data,No_data,No_data,No_data,No_data,0.030303030303030304
853307,3,52.19,Primary,Apartment building,Brick,2024.0,Central city heating,Kitchenette,5.0,4.0,Prądnik Biały,3.6,0,Yes,No_data,No_data,Yes,Yes,No_data,0.057482276298141406
600000,2,44.0,Secondary,Apartment building,Brick,2000.0,Central city heating,Kitchenette,8.0,4.0,Podgórze,3.6,3,Yes,No_data,No_data,No_data,No_data,No_data,0.045454545454545456
2999000,4,116.91,Secondary,Apartment building,"Concrete, reinforced concrete",2024.0,Central city heating,Kitchenette,5.0,4.0,Stare Miasto,0.4,5,Yes,Yes,Yes,Yes,No_data,No_data,0.03421435292105038
783000,3,62.0,Secondary,Apartment building,Brick,2012.0,Gas heating,Separate kitchen,8.0,4.0,Prądnik Czerwony,2.7,3,Yes,Yes,No_data,No_data,No_data,Yes,0.04838709677419355
649000,2,49.7,Secondary,Apartment building,No data,2006.0,Other/ no data,Separate kitchen,2.0,4.0,Dębniki,4.5,1,Yes,No_data,No_data,No_data,No_data,No_data,0.04024144869215292
545278,2,46.21,Primary,Apartment building,H-frame,2027.0,Central city heating,Kitchenette,5.0,4.0,Podgórze,3.6,1,Yes,Yes,Yes,Yes,No_data,No_data,0.04328067517853278
680540,3,48.61,Secondary,Apartment building,Large slab,1970.0,Central city heating,Separate kitchen,9.0,4.0,Prądnik Biały,3.6,4,No_data,No_data,Yes,Yes,No_data,No_data,0.061715696358773914
1039000,3,67.3,Secondary,Apartment building,Brick,2010.0,Central city heating,Kitchenette,10.0,4.0,Prądnik Biały,3.6,2,Yes,No_data,Yes,Yes,No_data,No_data,0.04457652303120357
722454,2,41.64,Primary,Apartment building,"Mixed construction, other",2026.0,Central city heating,Kitchenette,8.0,3.0,Łagiewniki-Borek Fałęcki,3.5,1,Yes,Yes,Yes,Yes,No_data,No_data,0.04803073967339097
699000,2,45.5,Secondary,Tenement,Brick,2002.136017628205,Central city heating,Kitchenette,1.0,4.0,Stare Miasto,0.4,0,No_data,No_data,No_data,No_data,No_data,No_data,0.04395604395604396
899000,3,60.71,Secondary,New construction,No data,2023.0,Other/ no data,Kitchenette,5.0,3.7804203539823007,Podgórze,3.6,3,Yes,Yes,Yes,Yes,No_data,No_data,0.04941525284137704
665000,2,47.5,Secondary,Apartment building,No data,2017.0,Central city heating,Kitchenette,10.0,4.0,Mistrzejowice,5.6,1,Yes,No_data,No_data,Yes,No_data,No_data,0.042105263157894736
649000,2,48.0,Secondary,Apartment building,No data,2010.0,Other/ no data,Kitchenette,5.859567901234568,3.7804203539823007,Bieżanów-Prokocim,7.5,3,Yes,No_data,Yes,Yes,No_data,No_data,0.041666666666666664
995000,3,63.43,Primary,Other/ No data,No data,2024.0,Central city heating,Kitchenette,5.0,4.0,Prądnik Czerwony,2.7,1,Yes,Yes,No_data,Yes,No_data,No_data,0.04729623206684534
690000,3,59.56,Secondary,Apartment building,No data,1980.0,Central city heating,Separate kitchen,1.0,2.0,Podgórze Duchackie,4.0,3,Yes,No_data,Yes,No_data,No_data,No_data,0.050369375419744795
870000,2,50.94,Secondary,Apartment building,"Mixed construction, other",2017.0,Central city heating,Kitchenette,7.0,4.0,Dębniki,4.5,6,Yes,Yes,Yes,Yes,No_data,No_data,0.03926187671770711
987525,3,59.85,Primary,New construction,"Concrete, reinforced concrete",2025.0,Central city heating,Kitchenette,5.0,4.0,Dębniki,4.5,1,Yes,Yes,Yes,Yes,No_data,No_data,0.05012531328320802
884461,2,52.07,Primary,Apartment building,H-frame,2026.0,Central city heating,Kitchenette,5.0,4.0,Bronowice,5.5,2,Yes,Yes,Yes,Yes,No_data,No_data,0.03840983291722681
794244,2,41.41,Primary,Apartment building,H-frame,2026.0,Central city heating,Kitchenette,5.0,4.0,Bronowice,5.5,0,Yes,Yes,Yes,Yes,No_data,No_data,0.04829751267809708
880000,3,46.4,Secondary,Tenement,"Mixed construction, other",1966.0,Central city heating,Separate kitchen,9.0,4.0,Stare Miasto,0.4,1,Yes,Yes,Yes,Yes,No_data,No_data,0.06465517241379311
560000,2,34.0,Secondary,Apartment building,Large slab,2002.136017628205,Central city heating,Kitchenette,5.859567901234568,4.0,Bieżanów-Prokocim,7.5,5,Yes,No_data,Yes,Yes,No_data,No_data,0.058823529411764705
1252461,4,74.33,Primary,Apartment building,No data,2025.0,Central city heating,Kitchenette,5.0,4.0,Podgórze,3.6,2,Yes,No_data,No_data,No_data,No_data,No_data,0.05381407237992735
799000,3,51.0,Secondary,Apartment building,"Mixed construction, other",1974.0,Central city heating,Separate kitchen,8.0,4.0,Prądnik Czerwony,2.7,4,Yes,No_data,Yes,No_data,No_data,Yes,0.058823529411764705
734700,3,46.0,Secondary,Apartment building,No data,2010.0,Central city heating,Other/ no data,8.0,3.7804203539823007,Podgórze,3.6,3,Yes,No_data,No_data,No_data,No_data,Yes,0.06521739130434782
1531700,2,57.8,Secondary,Tenement,Brick,1920.0,Gas heating,Kitchenette,9.0,4.0,Stare Miasto,0.4,3,Yes,No_data,Yes,Yes,No_data,Yes,0.03460207612456748
705000,3,50.0,Secondary,Apartment building,Brick,2015.0,Central heating,Kitchenette,8.0,4.0,Podgórze,3.6,3,Yes,No_data,No_data,No_data,No_data,No_data,0.06
609000,2,54.5,Secondary,Apartment building,Brick,1959.0,Central city heating,Bright kitchen,1.0,4.0,Nowa Huta,12.9,3,Yes,No_data,Yes,No_data,No_data,No_data,0.03669724770642202
625000,2,41.13,Primary,Other/ No data,No data,2025.0,Other/ no data,Kitchenette,5.859567901234568,3.7804203539823007,Podgórze,3.6,4,Yes,No_data,Yes,No_data,No_data,No_data,0.048626306831996105
569000,1,32.2,Secondary,Apartment building,Brick,1972.0,Central city heating,Separate kitchen,5.859567901234568,3.7804203539823007,Krowodrza,1.6,2,Yes,No_data,Yes,No_data,No_data,No_data,0.03105590062111801
900000,2,77.16,Secondary,Apartment building,Brick,2002.0,Own/ local central heating,Separate kitchen,8.0,3.7804203539823007,Dębniki,4.5,3,Yes,No_data,Yes,No_data,No_data,No_data,0.02592016588906169
639000,3,47.0,Secondary,Apartment building,Large slab,1973.0,Other/ no data,Separate kitchen,7.0,3.7804203539823007,Podgórze,3.6,0,Yes,No_data,Yes,No_data,No_data,No_data,0.06382978723404255
829000,3,64.3,Secondary,Apartment building,"Mixed construction, other",1997.0,Central city heating,Bright kitchen,3.0,4.0,Podgórze,3.6,0,Yes,Yes,Yes,No_data,No_data,No_data,0.04665629860031104
520000,1,32.32,Secondary,Tenement,Brick,1890.0,Electric heating,Kitchenette,5.0,3.7804203539823007,Stare Miasto,0.4,3,No_data,No_data,No_data,No_data,No_data,Yes,0.03094059405940594
690000,1,35.0,Secondary,Tenement,Brick,1905.0,Gas heating,Kitchenette,8.0,4.0,Stare Miasto,0.4,0,No_data,No_data,Yes,No_data,No_data,No_data,0.02857142857142857
715000,2,61.0,Secondary,Apartment building,Brick,2004.0,Central city heating,Kitchenette,2.0,4.0,Podgórze Duchackie,4.0,4,No_data,No_data,Yes,No_data,No_data,Yes,0.03278688524590164
499000,2,25.0,Secondary,Apartment building,"Concrete, reinforced concrete",1997.0,Central city heating,Kitchenette,4.0,4.0,Czyżyny,5.2,9,No_data,No_data,No_data,Yes,No_data,No_data,0.08
