price,rooms,area,market,building_type,building_material,year_built,heating,kitchen_type,property_condition,form_of_ownership,district_result,distance_from_center,floor_of_flat,balconies,parking,basement_storage_unit,lift,smart home,air conditioning,rooms_to_area_ratio
1100000,3,68.4,Secondary,Apartment building,Large slab,1980.0,Central city heating,Separate kitchen,1.0,4.0,Podgórze Duchackie,4.0,0,Yes,Yes,Yes,No_data,No_data,No_data,0.043859649122807015
1050000,2,40.98,Secondary,Apartment building,"Mixed construction, other",2012.0,Central city heating,Kitchenette,8.0,4.0,Stare Miasto,0.4,6,Yes,No_data,No_data,Yes,No_data,No_data,0.04880429477794046
625029,2,39.31,Primary,Apartment building,No data,2025.0,Other/ no data,Other/ no data,5.859567901234568,3.7804203539823007,Dębniki,4.5,1,Yes,Yes,No_data,No_data,No_data,Yes,0.050877639277537516
730620,2,41.38,Secondary,Multi-family building,No data,2024.0,Gas heating,Kitchenette,5.0,4.0,Bronowice,5.5,0,Yes,Yes,Yes,No_data,No_data,No_data,0.04833252779120348
810000,2,51.45,Secondary,Apartment building,"Mixed construction, other",2009.0,Central city heating,Kitchenette,8.0,4.0,Podgórze,3.6,5,Yes,Yes,Yes,Yes,No_data,No_data,0.038872691933916424
567000,1,27.0,Secondary,Apartment building,"Mixed construction, other",2018.0,Central city heating,Kitchenette,9.0,4.0,Krowodrza,1.6,0,Yes,No_data,No_data,Yes,No_data,No_data,0.037037037037037035
1080000,6,79.0,Secondary,Other/ No data,Brick,1996.0,Central city heating,Other/ no data,3.0,2.0,Prądnik Biały,3.6,3,Yes,No_data,No_data,No_data,No_data,No_data,0.0759493670886076
1365000,3,80.0,Secondary,Apartment building,Brick,2023.0,Central city heating,Kitchenette,5.0,4.0,Podgórze,3.6,4,Yes,Yes,Yes,No_data,No_data,No_data,0.0375
740000,4,66.3,Secondary,Apartment building,Large slab,1977.0,Central city heating,Separate kitchen,1.0,4.0,Prądnik Czerwony,2.7,8,Yes,No_data,Yes,Yes,No_data,No_data,0.06033182503770739
866375,4,59.75,Primary,Apartment building,"Mixed construction, other",2025.0,Central city heating,Kitchenette,5.0,4.0,Wzgórza Krzesławickie,10.8,3,Yes,Yes,No_data,No_data,No_data,No_data,0.06694560669456066
649000,2,35.0,Secondary,Apartment building,"Mixed construction, other",2023.0,Central city heating,Kitchenette,8.0,4.0,Nowa Huta,12.9,3,Yes,Yes,No_data,Yes,No_data,No_data,0.05714285714285714
1216983,3,55.57,Secondary,Apartment building,No data,2022.0,Central city heating,Other/ no data,5.859567901234568,3.7804203539823007,Podgórze,3.6,2,Yes,Yes,No_data,No_data,No_data,No_data,0.053985963649451144
1054637,3,57.1,Primary,Apartment building,H-frame,2026.0,Central city heating,Kitchenette,5.0,4.0,Bronowice,5.5,0,No_data,No_data,Yes,Yes,No_data,No_data,0.05253940455341506
785000,2,51.0,Secondary,Apartment building,Brick,2001.0,Gas heating,Kitchenette,8.0,4.0,Zwierzyniec,5.4,3,Yes,No_data,No_data,No_data,No_data,No_data,0.0392156862745098
932292,4,81.78,Primary,Apartment building,No data,2027.0,Central city heating,Other/ no data,5.859567901234568,3.7804203539823007,Podgórze,3.6,4,Yes,Yes,Yes,No_data,No_data,No_data,0.048911714355588165
719990,2,45.38,Secondary,Apartment building,H-frame,2012.0,Central city heating,Kitchenette,9.0,4.0,Bronowice,5.5,1,Yes,Yes,No_data,Yes,No_data,No_data,0.04407227853680035
590000,2,35.48,Primary,Apartment building,No data,2025.0,Central city heating,Kitchenette,5.859567901234568,3.7804203539823007,Nowa Huta,12.9,1,Yes,Yes,No_data,No_data,No_data,No_data,0.056369785794813984
1049100,2,40.35,Secondary,Apartment building,"Mixed construction, other",2025.0,Central city heating,Kitchenette,10.0,3.7804203539823007,Grzegórzki,1.15,2,Yes,Yes,No_data,Yes,No_data,No_data,0.049566294919454766
1810000,3,84.28,Secondary,Apartment building,"Mixed construction, other",2019.0,Central city heating,Kitchenette,9.0,4.0,Podgórze,3.6,1,Yes,Yes,No_data,Yes,No_data,No_data,0.03559563360227812
710000,3,54.16,Secondary,Apartment building,Large slab,1975.0,Central city heating,Separate kitchen,5.0,4.0,Bieńczyce,5.9,2,No,No_data,Yes,Yes,No_data,No_data,0.055391432791728215
419016,1,30.81,Primary,Other/ No data,No data,2027.0,Other/ no data,Other/ no data,5.859567901234568,3.7804203539823007,Podgórze,3.6,0,Yes,No_data,Yes,No_data,No_data,No_data,0.03245699448231094
