price,district,district_2,rooms,area,floor,levels,bathrooms,bathroom_with_toilet,market,type_of_contract,building_type,building_material,year_built,heating,kitchen_type,balcony,balcony_area,terrace,loggia,garden,windows,property_condition,form_of_ownership,advantages,link
847 000,"Kraków-Podgórze, ","Zakrzówek, ",3 pokoje,"52,96",parter/6,,,,Pierwotny,,Apartamentowiec,Pustak,2025,Co Miejskie,,,,Tak,,,,,,"['winda', 'kuchnia otwarta', 'miejsce parkingowe', 'ogródek', 'taras', 'parking podziemny']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-debniki-kapelanka/ob/40814263
,"Dębniki, ",ul. Fedorowicza 21,2 pokoje,"28,30",piętro 5/5,,,,Pierwotny,,,,2026,,,,,,,,,,,"['balkon', 'klimatyzacja', 'miejsce parkingowe', 'ogrzewana podłoga', 'taras', 'parking podziemny']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-debniki-fedorowicza-21/ob/41025813
849 000,"Prądnik Biały, ",Andrzeja Frycza-Modrzewskiego,3 pokoje,62,piętro 5/5,,1,Tak,Wtórny,Na wyłączność,Blok,Cegła,2000,,Osobna,Tak,,Nie,,,,Dobry,Własność,"['balkon', 'dwustronne', 'kuchnia osobna', 'miejsce parkingowe', 'wanna']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-pradnik-bialy-andrzeja-frycza-modrzewskiego/ob/40505385
1 400 000,"Prądnik Czerwony, ",Mogilska,3 pokoje,"54,54",piętro 2/4,,1,,Wtórny,Na wyłączność,Kamienica,,2024,Centralne,Aneks kuchenny,Tak,,,,,,Do zamieszkania,Własność,"['komórka lokatorska', 'rowerownia / wózkownia', 'winda', 'balkon', 'kuchnia otwarta', 'miejsce parkingowe', 'parking podziemny', 'siłownia']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-pradnik-czerwony-mogilska/ob/41355681
1 012 000,"Krowodrza, ",Józefa Wybickiego,3 pokoje,"56,94",piętro 7/7,,1,,Pierwotny,,WIEŻOWIEC,BETON,2024,C.O. Z SIECI MIEJSKIEJ,ANEKS KUCHENNY,Tak,,,,,,DO WYKOŃCZENIA,,"['komórka lokatorska', 'winda', 'balkon', 'klimatyzacja', 'kuchnia otwarta', 'miejsce parkingowe', 'ogrzewana podłoga', 'osiedle zamknięte', 'parking podziemny', 'plac zabaw']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-krowodrza-jozefa-wybickiego/ob/41099251
599 000,"Kraków, ","Czyżyny, ",2 pokoje,32,piętro 4/16,,1,Tak,Wtórny,,Apartamentowiec,-,2018,C.O. miejskie,Aneks kuchenny,Tak,,,,,PCV,Bardzo dobry,,"['winda', 'balkon', 'kuchnia otwarta', 'plac zabaw']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-czyzyny-orlinskiego/ob/41157401
992 000,"Kraków-Podgórze, ","Dębniki, ",4 pokoje,73,piętro 1/3,1,,,Pierwotny,,Blok Mieszkalny,,2025,Co Miejskie,,Tak,,Tak,,,,,,[],https://gratka.pl/nieruchomosci/mieszkanie-krakow-debniki-jana-kantego-federowicza/ob/40865355
858 389,"Ruczaj, ",Kobierzyńska,3 pokoje,"57,61",piętro 1/4,,1,,Pierwotny,,APARTAMENTOWIEC,INNY,2024,C.O. Z SIECI MIEJSKIEJ,ANEKS KUCHENNY,Tak,,,,,,DO WYKOŃCZENIA,WŁASNOŚĆ,"['komórka lokatorska', 'balkon', 'kuchnia otwarta', 'miejsce parkingowe', 'parking podziemny']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-debniki-kobierzynska/ob/40659463
595 000,"Dębniki, ","Pychowice, ",1 pokój,34,piętro 3/3,1,1,Tak,Wtórny,Na wyłączność,Blok,Pustak,2008,Miejskie,Aneks,Tak,,Nie,,,,Wysoki standard,Własność,"['winda', 'balkon', 'klimatyzacja', 'kuchnia otwarta']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-debniki-zakrzowiecka/ob/40974849
700 000,"Kraków, ","Czyżyny, Czyżyny, ",2 pokoje,"43,42",piętro 3/5,,1,Tak,Wtórny,,Blok,"Prefabrykat, pustak",2017,Miejskie,Aneks kuchenny - połączony z salonem,Tak,6 m²,,,,PCV,Bardzo dobry,Własność,"['winda', 'balkon', 'klimatyzacja', 'kuchnia otwarta', 'miejsce parkingowe', 'osiedle zamknięte', 'parking podziemny', 'plac zabaw']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-czyzyny-soltysowska/ob/41357047
435 000,"Kraków-Nowa Huta, ","Czyżyny, ",1 pokój,"28,82",piętro 1/3,1,,,Wtórny,,Blok Mieszkalny,Konstrukcja mieszana,2004,Co Miejskie,,,,,,,,,,"['komórka lokatorska', 'balkon', 'kuchnia otwarta']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-czyzyny-soltysowska/ob/41048849
1 269 000,"Bronowice, ",Władysława Żeleńskiego,4 pokoje,70,parter/1,2,,,Pierwotny,,Dom Wielorodzinny,YTong,2024,Co Miejskie,,,,Tak,,,,,,"['dwupoziomowe', 'plac zabaw']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-bronowice-wladyslawa-zelenskiego/ob/41138707
355 000,Kraków-Nowa Huta,,1 pokój,"22,66",piętro 4/10,,1,,Wtórny,,WIEŻOWIEC,WIELKA PŁYTA,1970,C.O. Z SIECI MIEJSKIEJ,OTWARTA,Tak,,,,,,DOBRY,WŁASNOŚĆ,['balkon'],https://gratka.pl/nieruchomosci/mieszkanie-krakow-nowa-huta/ob/40594351
1 760 000,"Stare Miasto, ",Krowoderska,4 pokoje,"108,20",piętro 1/3,,1,,Wtórny,,KAMIENICA,CEGŁA,1914,C.O. GAZOWE,ODDZIELNA,,,,,,,DO REMONTU KAPIT.,WŁASNOŚĆ,"['kamienica', 'kuchnia osobna']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-stare-miasto-krowoderska/ob/40377611
1 120 000,"Wola Justowska, ",Pylna,3 pokoje,"70,85",parter/1,,1,,Pierwotny,Na wyłączność,NISKI BLOK,CEGŁA,2024,POMPA CIEPŁA,ANEKS KUCHENNY,,,,,,,DO WYKOŃCZENIA,WŁASNOŚĆ,"['balkon', 'kuchnia otwarta', 'miejsce parkingowe', 'ogrzewana podłoga', 'osiedle zamknięte']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-zwierzyniec-pylna/ob/38204363
510 000,"Kurdwanów, ",Halszki,2 pokoje,34,piętro 1/10,,,,Wtórny,,,,,,,Nie,,,,,,,,"['balkon', 'kuchnia osobna', 'piwnica']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-podgorze-duchackie-halszki/ob/38316951
680 450,"Kraków-Nowa Huta, ","Mistrzejowice, ",3 pokoje,"50,83",parter/8,,,,Pierwotny,,Blok Mieszkalny,,2024,Co Miejskie,,,,Tak,,,,,,"['komórka lokatorska', 'stacja ładowania', 'winda', 'kuchnia otwarta', 'miejsce parkingowe', 'ogródek', 'parking podziemny', 'plac zabaw']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-mistrzejowice-osiedle-piastow/ob/41226823
739 000,"Kraków-Nowa Huta, ","Bieńczyce, ",3 pokoje,"43,56",piętro 2/4,,,,Wtórny,,,,1975,,,,,,,,,,,"['dwustronne', 'kuchnia otwarta']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-bienczyce-kazimierzowskie/ob/39842065
530 000,"Nowa Huta, ",Osiedle Albertyńskie,2 pokoje,40,parter/4,,1,,Wtórny,,,,1961,Miejskie,Oddzielna,Nie,,Nie,Tak,,,Do odświeżenia,,"['balkon', 'do remontu', 'kuchnia osobna']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-nowa-huta/ob/38255715
593 028,Prądnik Czerwony,,2 pokoje,"38,76",piętro 1/6,,,,Pierwotny,,NISKI BLOK,,2026,C.O. Z SIECI MIEJSKIEJ,,,,,,,,DO WYKOŃCZENIA,,"['balkon', 'kuchnia otwarta', 'miejsce parkingowe', 'parking podziemny']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-pradnik-czerwony/ob/40836037
750 000,"Kraków, ","Bronowice, Bronowice Małe, ",3 pokoje,"45,50",piętro 4/10,,1,Nie,Wtórny,,Blok,Mieszana,1974,C.O. miejskie,Oddzielna,Tak,,,,,PCV,Bardzo dobry,SPÓŁDZIELCZE WŁASNOŚCIOWE Z KW,"['winda', 'balkon', 'dwustronne', 'kuchnia osobna', 'piwnica', 'widna kuchnia']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-bronowice-na-blonie/ob/39233033
1 137 500,"Bronowice, ",Stawowa  168,3 pokoje,60,piętro 1/3,,,,Wtórny,,Apartamentowiec,,2021,Miejskie,,Tak,,,,,Nowe PCV,Do wprowadzenia,,"['komórka lokatorska', 'winda', 'kuchnia otwarta', 'miejsce parkingowe', 'taras', 'parking podziemny']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-bronowice-stawowa/oi/41112619
1 897 000,"Kraków-Podgórze, ","Łagiewniki, ",5 pokoi,115,piętro 4/4,,,,Pierwotny,,Blok Mieszkalny,Pustak,2024,Co Miejskie,,Tak,,,,,,,,"['komórka lokatorska', 'antresola', 'balkon', 'dwupoziomowe', 'kuchnia otwarta', 'miejsce parkingowe', 'taras']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-lagiewniki-borek-falecki-lany/ob/40747307
995 000,"Kraków-Śródmieście, ",Grzegórzecka,2 pokoje,"45,15",parter/6,,1,,Wtórny,Na wyłączność,APARTAMENTOWIEC,PUSTAK,2016,C.O. Z SIECI MIEJSKIEJ,,Tak,,,,,,BARDZO WYSOKI STANDARD,WŁASNOŚĆ,"['winda', 'kuchnia otwarta', 'miejsce parkingowe', 'ogródek', 'osiedle zamknięte', 'parking podziemny']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-grzegorzecka/ob/39457497
934 992,"Kraków-Podgórze, ","Podgórze, ",3 pokoje,"54,36",piętro 2/5,,,,Pierwotny,,Blok Mieszkalny,,2026,Co Miejskie,,Tak,,,,,,,,[],https://gratka.pl/nieruchomosci/mieszkanie-krakow-podgorze-lagiewnicka/ob/41102565
825 000,Mistrzejowice,,3 pokoje,"58,50",piętro 2/4,1,1,Tak,Wtórny,Na wyłączność,Blok,,2000,Miejskie,Aneks,Tak,,Nie,,,,Bardzo dobry,Spółdzielcze-własnościowe z KW,"['balkon', 'piwnica']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-mistrzejowice/ob/39292379
699 000,"Kraków, ","Bieżanów-Prokocim, ",3 pokoje,"61,50",piętro 2/10,,,,Wtórny,,Blok,,,,,Tak,,,,,PCV,Do remontu,,"['balkon', 'dwustronne', 'kuchnia osobna', 'piwnica']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-biezanow-prokocim/ob/40971709
,"Dębniki, ",ul. Fedorowicza 21,3 pokoje,"55,82",piętro 5/5,,,,Pierwotny,,,,2026,,,,,,,,,,,"['balkon', 'klimatyzacja', 'miejsce parkingowe', 'ogródek', 'ogrzewana podłoga', 'taras', 'parking podziemny']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-debniki-fedorowicza-21/ob/41025393
949 000,"Bronowice, ",Jasnogórska,3 pokoje,65,parter/2,2,,,Pierwotny,,Apartamentowiec,YTong,2024,Co Miejskie,,Tak,,Tak,,,,,,['komórka lokatorska'],https://gratka.pl/nieruchomosci/mieszkanie-krakow-bronowice-jasnogorska/ob/40747311
569 000,"Kraków, ","Nowa Huta, ",2 pokoje,"41,56",piętro 3/4,,1,Tak,Wtórny,Na wyłączność,Blok,Tradycyjna,1965,C.O. miejskie,Jasna z oknem,Tak,"4,60 m²",,,,PCV,Do wykończenia,SPÓŁDZIELCZE WŁASNOŚCIOWE Z KW,"['balkon', 'piwnica', 'widna kuchnia']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-nowa-huta-na-stoku/ob/41226151
814 500,"Kraków, ","Wzgórza Krzesławickie, Wzgórza Krzesławickie, ",4 pokoje,"65,16",piętro 1/3,,,Tak,Pierwotny,,Apartamentowiec,"Beton, cegła",2025,Miejskie,Aneks kuchenny - połączony z salonem,Tak,"8,84 m²",Tak,,,PCV,Deweloperski,Własność,"['balkon', 'ogródek', 'taras', 'parking podziemny']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-wzgorza-krzeslawickie-kantrowicka/ob/39688135
739 000,"Kraków, ","Krowodrza, Łobzów, ",2 pokoje,53,piętro 1/4,,1,Nie,Wtórny,Na wyłączność,Blok,Cegła,1991,C.O. miejskie,Oddzielna i widna,Tak,4 m²,,,,PCV,Deweloperski,Odrębna własność lokalu,"['komórka lokatorska', 'balkon', 'dwustronne', 'kuchnia osobna', 'miejsce parkingowe', 'piwnica']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-krowodrza-kazimierza-wielkiego/ob/39565823
1 180 189,"Kraków, ","Łagiewniki, Łagiewniki, ",4 pokoje,"70,67",piętro 6/6,,1,,Pierwotny,,Apartamentowiec,"Beton, cegła",2026,C.O. miejskie,Aneks kuchenny - połączony z salonem,Tak,"20,17 m²",,,,PCV,Bardzo dobry,Umowa z Deweloperem,"['dla osób z niepełnosprawnością', 'komórka lokatorska', 'winda', 'balkon', 'kuchnia otwarta', 'miejsce parkingowe', 'osiedle zamknięte', 'parking podziemny']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-lagiewniki-borek-falecki-wadowicka/ob/38559835
1 530 000,"Podgórze, ",Klimeckiego,3 pokoje,"72,48",piętro 3/5,,,,Wtórny,,,,,,,Tak,,,,,,,,"['komórka lokatorska', 'winda', 'balkon', 'dwustronne', 'kuchnia otwarta', 'miejsce parkingowe', 'wanna', 'parking podziemny']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-podgorze-klimeckiego/ob/38039987
762 609,"Kraków, ","Bronowice, Bronowice, ",2 pokoje,"40,56",piętro 1/4,,,,Pierwotny,,Blok,Rama H,2026,C.O. miejskie,Aneks kuchenny - połączony z jadalnią,,,,,,PCV,Deweloperski,Własność,"['dla osób z niepełnosprawnością', 'komórka lokatorska', 'rowerownia / wózkownia', 'winda', 'balkon', 'dwupoziomowe', 'kuchnia otwarta', 'miejsce parkingowe', 'taras', 'parking podziemny']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-bronowice-na-blonie/ob/41138055
754 730,"Kraków, ","Bronowice, Bronowice, ",2 pokoje,"37,45",piętro 1/4,,,,Pierwotny,,Blok,Rama H,2026,C.O. miejskie,Aneks kuchenny - połączony z jadalnią,,,,,,PCV,Deweloperski,Własność,"['dla osób z niepełnosprawnością', 'komórka lokatorska', 'rowerownia / wózkownia', 'winda', 'dwupoziomowe']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-bronowice-na-blonie/ob/41138145
750 000,"Podgórze Duchackie, ","Wola Duchacka, ",3 pokoje,"62,40",piętro 4/4,,1,,Wtórny,,Blok,Wielka płyta,1981,Miejskie,Zamknięta,Tak,,,,,Drewniane stare,Do remontu,Własność,"['komórka lokatorska', 'piwnica', 'wanna', 'do remontu', 'kuchnia osobna', 'balkon']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-podgorze-duchackie-wloska/ob/40285961
,"Dębniki, ",ul. Fedorowicza 21,3 pokoje,"62,19",piętro 3/5,,,,Pierwotny,,,,2026,,,,,,,,,,,"['balkon', 'klimatyzacja', 'miejsce parkingowe', 'ogródek', 'ogrzewana podłoga', 'taras', 'parking podziemny']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-debniki-fedorowicza-21/ob/41025605
1 100 550,"Prądnik Biały, ",ul. Kuźnicy Kołłątajowskiej 42,4 pokoje,"79,75",piętro 4/5,,,,Pierwotny,,,,2026,,,,,,,,,,,"['komórka lokatorska', 'winda', 'balkon', 'miejsce parkingowe']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-pradnik-bialy-kuznicy-kollatajowskiej-42/ob/41025889
1 560 000,"Kraków, ","Środmieście, ",3 pokoje,"73,99",piętro 4/5,,3,Tak,Wtórny,,Kamienica,Cegła,1934,C.O. miejskie,Aneks kuchenny,Tak,,,,,PCV,Bardzo dobry,Własność,"['kamienica', 'winda', 'balkon', 'klimatyzacja', 'kuchnia otwarta']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-krasinskiego/ob/39212797
827 200,"Prądnik Biały, ",ul. Grażyny 4A,2 pokoje,47,piętro 7,,,,Pierwotny,,,,2026,,Zamknięta,,,,,,,,,"['winda', 'balkon', 'kuchnia osobna', 'miejsce parkingowe', 'ogródek', 'parking podziemny']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-pradnik-bialy-grazyny-4a/ob/37776809
630 000,"Kraków, ","Stare Miasto, Kazimierz, ",1 pokój,"33,91",piętro 1/1,,1,Tak,Wtórny,Na wyłączność,Kamienica,Cegła,1950,Inne,Jasna z oknem,,,,,,PCV,Do remontu,Odrębna własność lokalu,"['kamienica', 'winda', 'antresola', 'kuchnia osobna', 'widna kuchnia']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-stare-miasto-wolnica/ob/40260739
718 000,"Kraków-Krowodrza, ","Prądnik Biały, ",2 pokoje,41,piętro 2/7,1,,,Pierwotny,,Blok Mieszkalny,YTong,2024,Co Miejskie,,Tak,,,,,,,,"['balkon', 'kuchnia otwarta']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-pradnik-bialy-doktora-twardego/ob/40768441
888 000,Ruczaj,,3 pokoje,"66,70",piętro 1/6,,2,,Wtórny,,WIEŻOWIEC,CEGŁA,2009,C.O. Z SIECI MIEJSKIEJ,ANEKS KUCHENNY,Tak,,,,,,DO REMONTU,WŁASNOŚĆ,"['balkon', 'kuchnia otwarta', 'miejsce parkingowe']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-debniki/ob/40017669
259 000,"Kraków, ",Nowa Huta,2 pokoje,"51,36",piętro 5/8,,1,Tak,Wtórny,,Blok,,2001,Miejskie,Jasna z oknem,Tak,,Tak,,,PCV,Do remontu,,"['komórka lokatorska', 'balkon', 'dwustronne', 'taras', 'wanna', 'widna kuchnia']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-nowa-huta/ob/39414039
,"Stare Miasto (historyczne), ","Stare Miasto, ",2 pokoje,"37,27",piętro 1,,,,Pierwotny,,,,2023,,Aneks,Tak,"3,66 m²",,,,,,,"['balkon', 'kuchnia otwarta', 'miejsce parkingowe', 'parking podziemny', 'plac zabaw']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-stare-miasto-prandoty-10c/ob/39250615
635 000,Ruczaj,,2 pokoje,"38,13",parter/5,1,,,Wtórny,,Blok Mieszkalny,Cegła,2015,Inne,,Tak,,,,,,,,"['winda', 'balkon', 'kuchnia otwarta', 'taras']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-debniki/ob/40353199
,"Dębniki, ",ul. Fedorowicza 21,2 pokoje,"32,94",piętro 3/5,,,,Pierwotny,,,,2026,,,,,,,,,,,"['balkon', 'klimatyzacja', 'miejsce parkingowe', 'ogrzewana podłoga', 'taras', 'parking podziemny']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-debniki-fedorowicza-21/ob/41025791
569 000,"Kraków, ","Podgórze, ",1 pokój,38,piętro 9/10,,,,Wtórny,,,,,,,,,,,,,,Odrębna własność lokalu,"['komórka lokatorska', 'winda', 'klimatyzacja', 'plac zabaw']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-podgorze-lasowka/ob/40144889
1 090 000,"Kraków, ",Dębniki,3 pokoje,68,piętro 7/10,,2,,Wtórny,,Apartamentowiec,żelbeton,2005,C.O. miejskie,Aneks kuchenny - połączony z salonem,Tak,"7,20 m²",Tak,,,"PCV 3 szyby, ciepły montaż",Bardzo dobry,,"['winda', 'dwustronne', 'kuchnia otwarta', 'miejsce parkingowe', 'taras', 'wanna', 'parking podziemny']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-debniki/ob/40788087
1 399 000,"Kraków-Krowodrza, ","Prądnik Biały, ",5 pokoi,"125,78",parter/2,,,,Wtórny,,Bliźniak,,2021,Gazowe,,,,Tak,,,,,,"['balkon', 'miejsce parkingowe', 'ogródek', 'osiedle zamknięte', 'plac zabaw']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-pradnik-bialy-wladyslawa-lokietka/ob/41135797
955 144,Podgórze,,4 pokoje,"82,34",piętro 5/5,,,,Pierwotny,,,,2027,,,Tak,"3,35 m²",,,,,,,"['komórka lokatorska', 'rowerownia / wózkownia', 'stacja ładowania', 'balkon', 'miejsce parkingowe', 'parking podziemny', 'plac zabaw']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-podgorze/ob/40781881
1 739 745,"Dębniki, ",Szaflarska,3 pokoje,"71,01",piętro 1/4,,,,Pierwotny,,NISKI BLOK,,2026,C.O. Z SIECI MIEJSKIEJ,ANEKS KUCHENNY,Tak,,,,,,DO WYKOŃCZENIA,WŁASNOŚĆ,"['komórka lokatorska', 'klimatyzacja', 'kuchnia otwarta', 'miejsce parkingowe', 'ogrzewana podłoga', 'taras', 'parking podziemny']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-debniki-szaflarska/ob/40197525
582 180,Podgórze,,2 pokoje,"46,95",parter/5,,,,Pierwotny,,,,2027,,,,,,,"17,16 m²",,,,"['komórka lokatorska', 'rowerownia / wózkownia', 'stacja ładowania', 'balkon', 'miejsce parkingowe', 'ogródek', 'parking podziemny', 'plac zabaw']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-podgorze/ob/40781777
1 095 000,"Nowa Huta, ","Czyżyny, ",3 pokoje,62,parter/5,,1,Tak,Wtórny,,Blok,,2022,Miejskie,Aneks kuchenny - połączony z salonem,,,,,,PCV,Bardzo dobry,Własność,"['komórka lokatorska', 'winda', 'kuchnia otwarta', 'miejsce parkingowe', 'ogródek', 'parking podziemny', 'siłownia']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-czyzyny-nowohucka/ob/39898413
979 000,"Kraków-Nowa Huta, ",Osiedle Centrum A,3 pokoje,74,piętro 2/6,,1,,Wtórny,Na wyłączność,BLOK,CEGŁA,1952,C.O. Z SIECI MIEJSKIEJ,ODDZIELNA,,,,,,,DOBRY,WŁASNOŚĆ,"['komórka lokatorska', 'winda', 'piwnica']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-nowa-huta-osiedle-centrum-a/ob/40786749
1 100 000,"Podgórze, ","Płaszów, ",3 pokoje,"76,20",parter/4,,,Tak,Wtórny,,Blok,Zróżnicowany,2014,Miejskie,Osobna,Tak,,,,,,Do remontu,Własność,"['balkon', 'kuchnia osobna', 'osiedle zamknięte']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-podgorze-przewoz/ob/40198005
829 000,"Górka Narodowa, ",Opolska,3 pokoje,"52,10",piętro 7/10,,1,,Wtórny,,WIEŻOWIEC,WIELKA PŁYTA,1980,C.O. Z SIECI MIEJSKIEJ,ODDZIELNA,Tak,,,,,,BARDZO WYSOKI STANDARD,SPÓŁDZIELCZE WŁASNOŚCIOWE Z KW,"['winda', 'balkon', 'dwustronne', 'piwnica', 'widna kuchnia']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-pradnik-bialy-opolska/ob/39663417
754 000,"Krowodrza, ",Rusznikarska,2 pokoje,44,piętro 2/7,,1,Tak,Pierwotny,,Budynek wielorodzinny,Tradycyjna,2025,C.O. miejskie,Aneks kuchenny,Tak,5 m²,,,,PCV,Deweloperski,Własność,"['klimatyzacja', 'ogrzewana podłoga', 'kuchnia otwarta', 'miejsce parkingowe', 'balkon']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-krowodrza-rusznikarska/ob/39901305
649 950,"Azory, ",Bolesława Czerwieńskiego,2 pokoje,"39,41",piętro 1/5,,,,Wtórny,Na wyłączność,APARTAMENTOWIEC,,2024,C.O. Z SIECI MIEJSKIEJ,OTWARTA,Tak,,,,,,DO WYKOŃCZENIA,,"['winda', 'balkon', 'kuchnia otwarta', 'miejsce parkingowe', 'parking podziemny']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-pradnik-bialy-boleslawa-czerwienskiego/ob/39623747
799 000,"Kraków-Śródmieście, ",Aleja Zygmunta Krasińskiego,2 pokoje,"50,14",piętro 2/5,,1,,Wtórny,,MIESZKALNO-BIUROWY,,1937,C.O. GAZOWE,OTWARTA,,,,,,,WYSOKI STANDARD,WŁASNOŚĆ,"['kamienica', 'winda', 'wanna']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-aleja-zygmunta-krasinskiego/ob/40098823
859 995,"Kraków, ","Wzgórza Krzesławickie, Wzgórza Krzesławickie, ",4 pokoje,"59,31",piętro 3/3,,,Tak,Pierwotny,,Apartamentowiec,"Beton, cegła",2025,Miejskie,Aneks kuchenny - połączony z salonem,Tak,"11,36 m²",,,,PCV,Deweloperski,Własność,"['balkon', 'ogródek', 'taras']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-wzgorza-krzeslawickie-kantrowicka/ob/39688201
2 029 000,"Kraków-Podgórze, ","Wola Duchacka, ",5 pokoi,"162,40",piętro 1/2,,,,Pierwotny,,Dom Wielorodzinny,Cegła,2025,Pompa Ciepła,,Tak,,Tak,,,,,,"['balkon', 'dwupoziomowe', 'klimatyzacja', 'kuchnia osobna', 'miejsce parkingowe', 'taras', 'plac zabaw']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-podgorze-duchackie-szczesliwa/ob/41087655
765 000,"Ruczaj, ",Karola Bunscha,2 pokoje,43,piętro 3/5,,1,,Wtórny,Na wyłączność,BLOK,MIESZANY,2022,C.O. Z SIECI MIEJSKIEJ,ANEKS KUCHENNY,Tak,,,,,,WYSOKI STANDARD,,"['komórka lokatorska', 'winda', 'balkon', 'kuchnia otwarta', 'miejsce parkingowe', 'parking podziemny']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-debniki-karola-bunscha/ob/38673041
1 000 000,"Kraków, ","Łagiewniki-Borek Fałęcki, ",3 pokoje,69,piętro 1/1,,1,Tak,Wtórny,,Bliźniak,Tradycyjna,2004,Gazowe,Aneks kuchenny - połączony z salonem,Tak,,,,,PCV,Do odświeżenia,,"['balkon', 'kuchnia otwarta', 'miejsce parkingowe', 'ogródek']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-lagiewniki-borek-falecki-ernesta-solvaya/ob/41380869
715 000,"Krowodrza, ","Łobzów, ",3 pokoje,"51,18",piętro 4/5,1,2,Nie,Wtórny,Na wyłączność,Apartamentowiec,Wielka płyta,1972,Miejskie,Osobna,Tak,"5,50 m²",Nie,,,,Bardzo dobry,Własność,"['komórka lokatorska', 'dwustronne', 'kuchnia osobna', 'piwnica']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-krowodrza-krowoderskich-zuchow/ob/40214301
504 455,"Wzgórza Krzesławickie, ",Gustawa Morcinka,2 pokoje,"34,79",piętro 2/3,,,,Pierwotny,,APARTAMENTOWIEC,MIESZANY,2025,C.O. Z SIECI MIEJSKIEJ,,,,,,,,DO WYKOŃCZENIA,WŁASNOŚĆ,"['balkon', 'kuchnia otwarta', 'miejsce parkingowe']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-wzgorza-krzeslawickie-gustawa-morcinka/ob/40379343
1 320 000,Kraków-Krowodrza,,3 pokoje,"70,19",piętro 7/11,,1,,Wtórny,,BLOK,,2009,C.O. Z SIECI MIEJSKIEJ,ODDZIELNA,,,,,,,WYSOKI STANDARD,WŁASNOŚĆ,"['komórka lokatorska', 'winda', 'balkon', 'klimatyzacja', 'kuchnia osobna', 'miejsce parkingowe', 'osiedle zamknięte', 'plac zabaw']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-krowodrza/ob/39387259
