price,district,district_2,rooms,area,floor,levels,bathrooms,bathroom_with_toilet,market,type_of_contract,building_type,building_material,year_built,heating,kitchen_type,balcony,balcony_area,terrace,loggia,garden,windows,property_condition,form_of_ownership,advantages,link
1 149 948,"Kraków-Podgórze, ",Przewóz,3 pokoje,"75,16",parter/5,,1,,Pierwotny,Na wyłączność,BLOK,MIESZANY,2026,C.O. Z SIECI MIEJSKIEJ,,,,,,,,DO WYKOŃCZENIA,WŁASNOŚĆ,"['komórka lokatorska', 'balkon', 'miejsce parkingowe', 'ogródek', 'parking podziemny']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-podgorze-przewoz/ob/40834705
980 000,"Krowodrza, ","Łobzów, ",3 pokoje,48,piętro 7/10,,1,Tak,Wtórny,,Blok,Płyta,1975,C.O. miejskie,Jasna z oknem,Tak,7 m²,,,,PCV,Bardzo dobry,Własność,"['komórka lokatorska', 'winda', 'balkon', 'kuchnia osobna', 'piwnica']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-krowodrza-gramatyka/ob/38843477
955 000,"Ruczaj, ",Obozowa,4 pokoje,90,piętro 3/4,,2,,Wtórny,Na wyłączność,NISKI BLOK,CERAMIKA,2006,,Z OKNEM,Tak,,,,,,WYSOKI STANDARD,WŁASNOŚĆ,"['rowerownia / wózkownia', 'winda', 'balkon', 'dwupoziomowe', 'dwustronne', 'taras', 'widna kuchnia']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-debniki-obozowa/ob/40040977
1 836 000,św. Sebastiana,,2 pokoje,"51,90",parter/4,,,,Wtórny,,KAMIENICA,CEGŁA,1910,C.O. Z SIECI MIEJSKIEJ,,Tak,,,,,,,WŁASNOŚĆ,"['kamienica', 'kuchnia otwarta', 'taras']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-sw-sebastiana/ob/39978777
635 000,"Nowa Huta, ","Stara Huta, ",2 pokoje,"51,51",piętro 4/4,,1,Tak,Wtórny,,Blok,Cegła,1960,Miejskie,Jasna z oknem,,,,,,PCV,Do wykończenia,Własność,"['kuchnia osobna', 'piwnica']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-nowa-huta-stalowe/ob/39917635
910 000,"Kraków-Podgórze, ","Rżąka, ",4 pokoje,"80,84",piętro 2/3,,,,Wtórny,Na wyłączność,Blok Mieszkalny,,1991,Co Miejskie,,Tak,,,,,,,,"['balkon', 'do remontu', 'dwustronne', 'kuchnia osobna', 'piwnica', 'plac zabaw']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-biezanow-prokocim-ludwika-rydygiera/ob/40286307
945 000,Przewóz,,5 pokoi,"96,82",piętro 1/3,,1,,Pierwotny,,NISKI WIELORODZINNY,BETON,2025,C.O. GAZOWE,OTWARTA,Tak,,,,,,DO WYKOŃCZENIA,WŁASNOŚĆ,"['dwupoziomowe', 'ogrzewana podłoga', 'poddasze']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-podgorze/ob/40864239
1 450 000,"Stare Miasto, ",Długa,3 pokoje,"94,90",parter/4,,1,,Wtórny,,KAMIENICA,CEGŁA,1886,INNE,Z OKNEM,,,,,,,DO REMONTU,WŁASNOŚĆ,"['kamienica', 'dwustronne', 'kuchnia osobna', 'miejsce parkingowe', 'widna kuchnia']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-stare-miasto-dluga/ob/41155499
675 000,"Nowa Huta, ","Stara Huta, ",2 pokoje,51,piętro 1/4,,1,Tak,Wtórny,,Blok,Cegła,1958,C.O. miejskie,Jasna z oknem,Tak,,,,,,Dobry,Spółdzielcze własnościowe,"['winda', 'dwustronne', 'kuchnia osobna']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-nowa-huta-szkolne/ob/39318985
535 500,"Bronowice, ",Lucjana Rydla,2 pokoje,"36,50",piętro 4/10,1,1,,Wtórny,,,Płyta,1980,Miejskie,Oddzielna,Nie,,Nie,,,,Do odświeżenia,Pełna własność,"['winda', 'do remontu', 'kuchnia osobna', 'miejsce parkingowe', 'wanna']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-bronowice/ob/40243903
745 000,"Dębniki, ","Os. Ruczaj, ",4 pokoje,63,piętro 2/4,,1,Tak,Wtórny,Na wyłączność,Blok,Pustak,2003,Gazowe,Aneks,Tak,4 m²,Nie,,,,Do remontu,Własność,"['komórka lokatorska', 'kuchnia otwarta', 'miejsce parkingowe']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-debniki-drukarska/ob/40418095
,"Krowodrza, ",ul. Żabiniec 56,3 pokoje,"60,57",piętro 4/4,,,,Pierwotny,,,,2026,,,,,,,,,,,"['balkon', 'miejsce parkingowe', 'ogródek', 'taras', 'parking podziemny']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-krowodrza-zabiniec-56/ob/41133353
799 000,"Bieżanów-Prokocim, ",Konrada Wallenroda,4 pokoje,"57,20",parter/10,,,,Wtórny,,WIEŻOWIEC,WIELKA PŁYTA,1975,C.O. Z SIECI MIEJSKIEJ,ANEKS KUCHENNY,Tak,,,,,,,WŁASNOŚĆ,"['balkon', 'kuchnia otwarta', 'miejsce parkingowe', 'piwnica', 'wanna']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-biezanow-prokocim-konrada-wallenroda/ob/41117273
1 020 000,"Kraków, ","Podgórze Duchackie, Kurdwanów, ",5 pokoi,"85,20",piętro 1/4,,1,,Wtórny,,Blok,Wielka płyta,1984,C.O. miejskie,,Tak,,,,,PCV,Do odnowienia,Odrębna własność lokalu,"['balkon', 'dwustronne', 'kuchnia osobna', 'plac zabaw']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-podgorze-duchackie-halszki/ob/41359107
,"Podgórze, ",ul. Rydlówka 5,2 pokoje,"30,34",piętro 1,,,,Pierwotny,,,,2025,,Aneks,Tak,"3,79 m²",,,,,,,['balkon'],https://gratka.pl/nieruchomosci/mieszkanie-krakow-podgorze-rydlowka-5/ob/41003563
799 000,"Kraków-Nowa Huta, ",gen. Michała Karaszewicza-Tokarzewskiego,4 pokoje,"78,89",piętro 1/1,,2,,Pierwotny,,NISKI BLOK,,2025,C.O. Z SIECI MIEJSKIEJ,OTWARTA,Tak,,,,,,DO WYKOŃCZENIA,WŁASNOŚĆ,"['balkon', 'miejsce parkingowe', 'ogródek']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-nowa-huta-gen-michala-karaszewicza-tokarzewskiego/ob/41333971
,"Podgórze, ",ul. Rydlówka 5,1 pokój,"34,39",piętro 1,,,,Pierwotny,,,,2025,,Aneks,Tak,"3,70 m²",,,,,,,"['kamienica', 'balkon']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-podgorze-rydlowka-5/ob/41003315
729 000,"Prądnik Czerwony, ","Rakowice, ",2 pokoje,46,piętro 1/8,1,1,Tak,Wtórny,Na wyłączność,Blok,Cegła,2008,Miejskie,Półotwarta,Tak,"4,20 m²",Nie,,,,Dobry,Własność,"['winda', 'balkon', 'kuchnia osobna', 'miejsce parkingowe', 'parking podziemny']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-pradnik-czerwony-sliczna/ob/40862753
1 065 000,"Kraków, ","Prądnik Czerwony, ",3 pokoje,71,parter/3,,,,Wtórny,,Blok,,,,,,,,,,PCV,Po generalnym remoncie,,"['balkon', 'klimatyzacja', 'ogródek', 'piwnica']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-pradnik-czerwony/ob/39901343
716 000,"Krowodrza, ","Nowa Wieś, ",2 pokoje,37,piętro 2/10,1,1,Tak,Wtórny,Na wyłączność,Blok,Wielka płyta,1970,Miejskie,Aneks,Tak,,Nie,,,,Bardzo dobry,Własność,"['winda', 'balkon', 'kuchnia otwarta', 'miejsce parkingowe']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-krowodrza-juliusza-lea/ob/40643425
485 000,"Prądnik Czerwony, ","Olsza, ",2 pokoje,"36,24",piętro 4/4,,,Tak,Wtórny,Na wyłączność,Blok,"Cegła, pustak",1970,C.O. miejskie,Ciemna,,,,,,PCV,Dobry,Własność,"['kuchnia osobna', 'piwnica']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-pradnik-czerwony-celarowska/ob/39977119
814 500,"Kraków, ","Wzgórza Krzesławickie, Wzgórza Krzesławickie, ",4 pokoje,"65,16",piętro 1/3,,,Tak,Pierwotny,,Apartamentowiec,"Beton, cegła",2025,Miejskie,Aneks kuchenny - połączony z salonem,Tak,"8,83 m²",,,,PCV,Deweloperski,Własność,"['kuchnia otwarta', 'parking podziemny']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-wzgorza-krzeslawickie-kantrowicka/ob/39688107
485 000,"Podgórze Duchackie, ",ul. Lirników 7,1 pokój,"26,34",parter/3,,,,Pierwotny,,,,2026,,,,,,,,,,,"['stacja ładowania', 'balkon', 'taras']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-podgorze-duchackie-lirnikow-7/ob/39517885
2 350 000,"Ruczaj, ",Zygmunta Miłkowskiego,5 pokoi,"134,96",piętro 10/10,,2,,Wtórny,Na wyłączność,APARTAMENTOWIEC,MIESZANY,2015,C.O. Z SIECI MIEJSKIEJ,OTWARTA,Tak,,,,,,WYSOKI STANDARD,WŁASNOŚĆ,"['komórka lokatorska', 'recepcja', 'dwupoziomowe', 'klimatyzacja', 'ogrzewana podłoga']",https://gratka.pl/nieruchomosci/mieszkanie-krakow-debniki-zygmunta-milkowskiego/ob/41028553
